target,opens,expires,interest,type,location,investors,projectNr
20 000€,10 000€,2020/02/19,12%,2020/03/06,Specialized,Latvia,2814
550 000€,200 000€,2020/03/02,24%,2020/03/31,Specialized,Georgia,2818
250 000€,2019/08/28,2019/09/16,16.5%,Real Estate,"Riga, Latvia",755,2257
78 000€,35 000€,2019/12/02,14.5%,2019/12/30,Real Estate,"Riga, Latvia",2770
800 000€,500 000€,2020/01/07,21%,2020/01/31,Specialized,Estonia and Poland,2795
8 280€,2020/07/06,2020/07/17,15%,SME,Latvia,57,2908
375 000€,2019/04/17,2019/05/15,19.5%,Specialized,Malaysia / Cambodia / Thailand,75,1837
280 000€,150 000€,2019/11/29,16.5%,2019/12/13,Real Estate,"Riga, Latvia",2769
60 000€,50 000€,2020/03/06,21%,2020/05/03,Real Estate,"Riga, Latvia",2822
40 000€,20 000€,2020/05/29,22%,2020/06/30,Real Estate,"Riga, Latvia",2866
30 000€,10 000€,2020/08/12,22%,2020/09/09,Real Estate,Latvia,2937
100 000€,50 000€,2020/01/21,16.50%,2020/02/13,Real Estate,"Riga, Latvia",2805
950 000€,2019/09/06,2019/10/06,18% + 14%,Specialized,Worldwide,1525,2303
950 000€,300 000€,2019/10/31,18% + 14%,2019/11/29,Specialized,Worldwide,2644
75 000€,50 000€,2019/10/17,14%,2019/11/01,Specialized,"Riga, Latvia",2579
15 000€,5 000€,2020/07/13,20%,2020/08/03,Specialized,Latvia,2920
125 000€,50 000€,2020/01/20,14%,2020/02/15,Real Estate,"Riga, Latvia",2804
20 000€,10 000€,2020/05/25,21%,2020/06/22,Specialized,"Riga, Latvia",2862
30 000€,10 000€,2020/07/13,21%,2020/08/03,Specialized,Latvia,2919
65 500€,30 000€,2020/04/23,24%,2020/05/23,SME,Latvia,2838
40 000€,10 000€,2020/05/19,24%,2020/06/12,SME,Meat processing factory (II),2858
40 000€,10 000€,2020/05/29,24%,2020/06/23,SME,Latvia,2865
40 000€,10 000€,2020/06/22,24%,2020/07/15,SME,Latvia,2887
50 000€,10 000€,2020/07/29,25%,2020/08/14,SME,Latvia,2929
50 000€,10 000€,2020/08/14,28.5%,2020/09/11,SME,Latvia,2944
50 000€,10 000€,2020/08/21,28.5%,2020/09/11,SME,Latvia,2948
50 000€,10 000€,2020/09/08,28.5%,2020/09/30,SME,Latvia,2958
301 000€,100 000€,2020/08/27,26%,2020/09/21,Real Estate,Latvia,2949
40 000€,15 000€,2020/06/22,18%,2020/07/17,Real Estate,Latvia,2882
40 000€,15 000€,2020/07/08,18%,2020/08/05,Real Estate,Latvia,2915
40 000€,15 000€,2020/08/13,18%,2020/09/10,Real Estate,Latvia,2941
80 000€,25 000€,2019/10/22,9.5%,2019/11/22,Specialized,"Riga, Latvia",2615
60 000€,20 000€,2020/06/30,22%,2020/07/15,Real Estate,Latvia,2900
500 000€,400 000€,2019/11/25,18%,2019/12/25,Specialized,Latvia,2766
50 000€,30 000€,2019/11/22,14%,2019/12/04,Specialized,"Riga, Latvia",2765
850 000€,400 000€,2019/11/13,19%,2019/12/13,Real Estate,"Riga, Latvia",2752
400 000€,200 000€,2019/10/30,15%,2019/11/29,Specialized,Georgia,2638
115 808€,2020/03/06,2020/04/03,18%,Specialized,Georgia,632,2823
9 000€,2019/12/02,2019/12/11,11%,SME,Latvia,52,2775
19 000€,10 000€,2019/12/02,12%,2019/12/06,Specialized,Latvia,2774
55 000€,20 000€,2020/07/21,25%,2020/08/21,Specialized,Latvia,2927
45 000€,15 000€,2020/07/31,26%,2020/08/31,Specialized,Latvia,2931
35 000€,10 000€,2020/08/12,26%,2020/09/09,Specialized,Latvia,2938
35 000€,10 000€,2020/08/27,26%,2020/09/24,Specialized,Latvia,2952
35 000€,10 000€,2020/09/01,26%,2020/10/01,Specialized,Latvia,2954
60 000€,25 000€,2019/12/11,12%,2019/12/31,Specialized,"Saldus, Latvia",2781
120 000€,2019/09/04,2019/09/18,14%,Specialized,Latvia,398,2300
170 000€,50 000€,2019/10/21,14%,2019/11/15,Specialized,Latvia,2611
200 000€,2019/09/24,2019/10/11,14%,Specialized,Latvia,777,2405
90 000€,2019/08/07,2019/08/12,14%,Specialized,Latvia,389,2174
170 000€,2019/08/13,2019/08/16,14%,Specialized,Latvia,575,2227
180 000€,100 000€,2020/01/15,18%,2020/02/14,Specialized,Latvia,2803
30 000€,15 000€,2020/01/13,16%,2020/01/24,Specialized,Latvia,2799
90 000€,50 000€,2020/01/13,16%,2020/02/07,Specialized,Latvia,2800
45 000€,20 000€,2019/12/02,12%,2019/12/20,Specialized,Latvia,2773
35 000€,20 000€,2019/12/02,10%,2019/12/20,Specialized,Latvia,2772
195 000€,50 000€,2019/12/09,16%,2019/12/30,Specialized,Latvia,2778
30 000€,2019/11/21,2019/11/27,12%,Specialized,Latvia,236,2764
40 000€,20 000€,2019/11/21,11%,2019/11/27,Specialized,Latvia,2763
10 000€,2019/11/21,2019/11/27,10%,Specialized,Latvia,80,2762
25 000€,15 000€,2020/08/31,29%,2020/09/14,SME,Estonia,2953
730 000€,2019/06/10,2019/07/12,21%,Real Estate,"Riga, Latvia",1258,1943
40 000€,10 000€,2020/08/13,18%,2020/09/17,Real Estate,,2942
100 000€,2019/07/01,2019/07/19,14.5%,Real Estate,"Riga, Latvia",375,1988
50 000€,30 000€,2019/10/11,14.5%,2019/10/17,Real Estate,"Riga, Latvia",2549
750 000€,2019/07/12,2019/08/01,19.5%,Real Estate,"Riga, Latvia",1386,2073
195 000€,50 000€,2020/02/19,14.8%,2020/03/19,Real Estate,"Riga, Latvia",2813
16 702€,2020/07/09,2020/07/23,17%,SME,,164,2917
100 000€,2018/11/13,2018/12/19,18%,Specialized,"Berlin, Germany",213,1350
61 000€,30 000€,2020/09/29,22.5%,2020/10/27,SME,Latvia,2974
5 597€,2020/06/30,2020/07/14,19%,SME,Estonia,31,2896
29 187€,2020/06/17,2020/07/06,27%,SME,Latvia,165,2874
150 841€,2019/03/15,2019/04/15,16%,Specialized,Worldwide,411,1698
200 000€,2019/08/28,2019/09/28,16%,Specialized,Worldwide,794,2253
150 000€,20 000€,2020/07/08,24%,2020/08/07,Specialized,Worldwide,2910
320 000€,2019/02/28,2019/03/31,18%,Specialized,Worldwide,400,1652
45 000€,10 000€,2020/08/05,22%,2020/09/02,Specialized,Worldwide,2933
14 470€,2020/05/14,2020/06/05,23%,SME,Lithuania,111,2853
50 000€,10 000€,2020/02/25,12%,2020/03/20,Specialized,"Boston, USA",2816
42 625€,42 625€,2020/06/19,26%,2020/07/17,SME,Lithuania,2881
40 000€,20 000€,2019/12/11,12%,2019/12/31,Specialized,"Riga, Latvia",2782
13 090€,2020/04/28,2020/05/15,25%,SME,Estonia,90,2835
40 000€,25 000€,2020/09/09,24%,2020/10/02,Specialized,Worldwide,2957
14 858€,2020/07/16,2020/07/31,23%,Specialized,Baltics,70,2922
14 681€,2020/07/20,2020/08/03,24%,SME,Baltics,80,2926
52 000€,20 000€,2020/07/02,25%,2020/07/16,SME,Latvia,2902
440 000€,2019/07/26,2019/08/19,19.5%,Specialized,"Koh Rong, Cambodia",897,2115
21 600€,10 000€,2020/09/01,21%,2020/10/01,Specialized,Cambodia,2955
40 000€,2019/08/20,2019/09/03,16%,Specialized,"Riga, Latvia",126,2238
45 000€,20 000€,2020/09/28,24%,2020/10/23,SME,Latvia,2973
12 015€,2020/07/10,2020/07/24,15%,SME,Estonia,117,2918
45 000€,10 000€,2020/09/04,16%,2020/10/05,Specialized,"Berlin, Germany",2956
75000€,2019/03/25,2019/04/08,16%,Specialized,"Berlin, Germany",204,1729
65 000€,30 000€,2020/06/11,26%,2020/07/01,Specialized,Worldwide,2870
950 000€,2019/09/18,2019/10/10,16% + 5%,Specialized,Latvia,2046,2367
8 460€,8 460€,2020/06/19,23%,2020/07/03,SME,Lithuania,2880
26 044€,2020/06/29,2020/07/15,20%,SME,Estonia,110,2893
112 073€,50 000€,2019/11/12,13%,2019/12/03,Specialized,"Riga, Latvia",2715
348 914€,2019/09/27,2019/10/11,16.5%,Real Estate,Latvia,32,2423
75 000€,50 000€,2019/11/12,15%,2020/01/03,Real Estate,Latvia,2754
150 000€,2019/08/06,2019/09/30,12.8%,Real Estate,"Daugavpils, Latvia",19,2170
500 000€,400 000€,2019/11/04,18%,2019/11/29,Specialized,Worldwide,2646
80 000€,25 000€,2020/03/18,24%,2020/04/20,Specialized,Worldwide,2826
100 000€,10 000€,2020/04/08,24%,2020/05/08,Specialized,Worldwide,2830
50 000€,15 000€,2020/08/14,24%,2020/09/14,Specialized,Worldwide,2943
250 000€,100 000€,2020/02/11,18%+12%,2020/02/29,Specialized,Worldwide,2810
130 000€,30 000€,2019/11/22,12%,2019/12/10,Specialized,Baltic States,2718
40 000€,10 000€,2020/04/24,24%,2020/05/23,Specialized,Georgia,2839
12 900€,2020/03/10,2020/03/16,12%,Specialized,Latvia,96,2824
10 000€,5 000€,2020/09/18,19.5%,2020/10/16,SME,Latvia,2963
